weight,sentence,a,b,c,d,e,f,g,h,i,j
1,燃費が良い,燃費,良い
1,経済的,経済
1,小回りが出来る,小回り,出来る
1,駐車しやすい,駐車,為る
1,ストレスが少ない,ストレス,少ない
1,車幅が狭い,車幅,狭い
1,車長が短い,車長,短い
1,カラーラインナップが多い,カラー,ラインナップ,多い
1,好きな車を見つけやすい,車,見付ける
1,維持費が安い,維持,安い
1,安全性能が高い,安全,性能,高い
1,事故での被害が少ない,事故,被害,少ない
1,狭路を運転しやすい,狭路,運転,為る
1,街乗りがしやすい,街乗り,為る
1,かっこいい,かっこ,良い
1,ボンネットが出っ張っている,ボンネット,出っ張る,居る
1,座席数が多い,座席,数,多い
1,六人以上乗れる,六,以上,乗る
1,三列シート,三,列,シート
1,家族全員収容できる,家族,全員,収容,出来る
1,荷物をたくさん積める,荷物,積む
1,荷物スペースが広い,荷物,スペース,広い
1,後部座席を倒せる,後部,座席,倒す
1,走行性能が高い,走行,性能,高い
1,最低地上高が高い,最低,地上,高い
1,悪路も運転しやすい,悪路,運転,為る
1,荷物の積み下ろしが楽,荷物,積み下ろし,楽
1,車高が低い,車高,低い
1,高齢者が乗りやすい,高齢,乗る
